0, 6, 18, 6, 0.270238, 0.083333
1, 16, 54, 16, 0.169294, 0.016949
2, 6, 18, 6, 0.630930, 0.500000
5, 3, 16, 3, 0.301030, 0.111111
6, 10, 25, 10, 0.630930, 0.500000
7, 3, 12, 3, 0.150190, 0.010000
9, 3, 269, 3, 0.333333, 0.142857
11, 7, 34, 6, 0.189200, 0.026316
12, 10, 218, 9, 0.176291, 0.020000
13, 3, 13, 3, 0.171442, 0.017857
15, 79, 75, 79, 0.150190, 0.010000
16, 91, 14, 87, 0.250000, 0.066667
17, 16, 0, 15, 0.289065, 0.100000
18, 8, 108, 8, 0.289065, 0.100000
21, 4, 0, 4, 1.000000, 1.000000
22, 120, 0, 114, 0.166667, 0.015873
24, 3, 0, 3, 0.150190, 0.010000
25, 8, 229, 8, 1.000000, 1.000000
26, 4, 0, 3, 0.386853, 0.200000
27, 6, 23, 6, 0.186652, 0.025000
28, 41, 294, 41, 0.239812, 0.058824
31, 4, 23, 4, 0.173765, 0.018868
33, 7, 0, 7, 0.270238, 0.083333
36, 34, 0, 34, 0.173765, 0.018868
40, 4, 0, 4, 0.231378, 0.052632
42, 4, 11, 4, 0.235409, 0.055556
43, 16, 96, 16, 0.289065, 0.100000
44, 10, 49, 10, 0.386853, 0.200000
45, 7, 165, 7, 0.169294, 0.016949
46, 4, 15, 4, 0.262650, 0.076923
47, 3, 0, 3, 0.176291, 0.020000
49, 4, 54, 4, 0.185449, 0.024390
50, 11, 72, 11, 0.203795, 0.034483
51, 37, 19, 37, 0.386853, 0.200000
52, 3, 0, 3, 0.386853, 0.200000
54, 3, 38, 3, 0.205847, 0.035714
55, 5, 12, 5, 0.301030, 0.111111
56, 68, 237, 66, 0.227670, 0.050000
58, 18, 70, 17, 0.180031, 0.021739
60, 4, 14, 4, 0.187902, 0.025641
61, 5, 418, 5, 0.189200, 0.026316
62, 3, 101, 3, 0.164272, 0.014925
63, 8, 10, 8, 0.301030, 0.111111
65, 8, 0, 8, 0.172970, 0.018519
66, 35, 0, 35, 0.184289, 0.023810
70, 6, 41, 6, 0.172970, 0.018519
73, 78, 16, 71, 0.301030, 0.111111
74, 5, 47, 5, 0.150190, 0.010000
77, 7, 0, 7, 0.289065, 0.100000
78, 16, 14, 16, 0.150190, 0.010000
81, 9, 0, 8, 0.150190, 0.010000
82, 14, 102, 14, 1.000000, 1.000000
85, 75, 0, 71, 0.193426, 0.028571
86, 8, 127, 8, 0.630930, 0.500000
88, 6, 374, 6, 0.255958, 0.071429
89, 8, 0, 8, 0.205847, 0.035714
92, 12, 32, 12, 0.150190, 0.010000
94, 14, 38, 14, 0.170707, 0.017544
95, 17, 20, 17, 0.215338, 0.041667
96, 8, 67, 8, 0.244651, 0.062500
98, 6, 24, 6, 0.227670, 0.050000
99, 3, 239, 3, 1.000000, 1.000000
101, 4, 0, 4, 0.244651, 0.062500
102, 24, 32, 23, 0.173765, 0.018868
103, 4, 27, 4, 0.166667, 0.015873
