0, 6, 18, 0.182088, 0.022727
1, 16, 54, 0.182088, 0.022727
2, 6, 18, 0.278943, 0.090909
5, 3, 16, 0.227670, 0.050000
6, 10, 25, 0.315465, 0.125000
7, 3, 12, 0.159099, 0.012987
9, 3, 269, 0.301030, 0.111111
11, 7, 34, 0.194959, 0.029412
12, 10, 218, 0.154423, 0.011364
13, 3, 13, 0.156862, 0.012195
15, 79, 75, 0.162077, 0.014085
16, 91, 14, 0.154423, 0.011364
17, 16, 0, 0.333333, 0.142857
18, 8, 108, 0.262650, 0.076923
21, 4, 0, 0.333333, 0.142857
22, 120, 0, 0.160544, 0.013514
24, 3, 0, 0.191959, 0.027778
25, 8, 229, 0.333333, 0.142857
26, 4, 0, 0.262650, 0.076923
27, 6, 23, 0.164272, 0.014925
28, 41, 294, 0.151517, 0.010417
31, 4, 23, 0.227670, 0.050000
33, 7, 0, 0.189200, 0.026316
36, 34, 0, 0.150844, 0.010204
40, 4, 0, 0.174583, 0.019231
42, 4, 11, 0.177184, 0.020408
43, 16, 96, 0.187902, 0.025641
44, 10, 49, 0.356207, 0.166667
45, 7, 165, 0.218104, 0.043478
46, 4, 15, 0.191959, 0.027778
47, 3, 0, 0.315465, 0.125000
49, 4, 54, 0.208015, 0.037037
50, 11, 72, 0.184289, 0.023810
51, 37, 19, 1.000000, 1.000000
52, 3, 0, 0.198240, 0.031250
54, 3, 38, 0.231378, 0.052632
55, 5, 12, 0.356207, 0.166667
56, 68, 237, 0.162077, 0.014085
58, 18, 70, 0.166667, 0.015873
60, 4, 14, 0.160053, 0.013333
61, 5, 418, 0.239812, 0.058824
62, 3, 101, 0.156021, 0.011905
63, 8, 10, 0.333333, 0.142857
65, 8, 0, 0.212746, 0.040000
66, 35, 0, 0.153662, 0.011111
70, 6, 41, 0.164272, 0.014925
73, 78, 16, 0.159099, 0.012987
74, 5, 47, 0.156021, 0.011905
77, 7, 0, 0.205847, 0.035714
78, 16, 14, 0.169992, 0.017241
81, 9, 0, 0.208015, 0.037037
82, 14, 102, 0.262650, 0.076923
85, 75, 0, 0.164272, 0.014925
86, 8, 127, 0.386853, 0.200000
88, 6, 374, 0.166667, 0.015873
89, 8, 0, 0.333333, 0.142857
92, 12, 32, 0.174583, 0.019231
94, 14, 38, 0.170707, 0.017544
95, 17, 20, 0.157732, 0.012500
96, 8, 67, 0.177184, 0.020408
98, 6, 24, 0.301030, 0.111111
99, 3, 239, 0.500000, 0.333333
101, 4, 0, 0.156021, 0.011905
102, 24, 32, 0.157293, 0.012346
103, 4, 27, 0.262650, 0.076923
104, 53, 164, 0.190551, 0.027027
105, 3308, 11, 0.203795, 0.034483
107, 4, 43, 0.231378, 0.052632
110, 3, 16, 0.189200, 0.026316
111, 11, 43, 0.157732, 0.012500
113, 4, 0, 0.150190, 0.010000
114, 7, 0, 0.430677, 0.250000
115, 105, 67, 0.158635, 0.012821
117, 12, 14, 0.430677, 0.250000
119, 359, 33, 0.183169, 0.023256
120, 3, 24, 0.157293, 0.012346
122, 10, 31, 0.180031, 0.021739
123, 6, 12, 0.153290, 0.010989
124, 4, 35, 0.159099, 0.012987
125, 13, 68, 0.158635, 0.012821
126, 9, 0, 0.255958, 0.071429
131, 10, 28, 0.262650, 0.076923
132, 9, 67, 0.630930, 0.500000
133, 11, 33, 0.224244, 0.047619
134, 10, 82, 0.166667, 0.015873
136, 21, 0, 0.194959, 0.029412
138, 6, 0, 0.630930, 0.500000
139, 38, 147, 0.151178, 0.010309
140, 6, 49, 0.158180, 0.012658
142, 9, 50, 0.191959, 0.027778
143, 8, 0, 0.162608, 0.014286
144, 5, 11, 0.177184, 0.020408
145, 14, 0, 0.215338, 0.041667
147, 3, 72, 1.000000, 1.000000
148, 112, 97, 0.181043, 0.022222
154, 21, 54, 0.158635, 0.012821
155, 3, 106, 0.278943, 0.090909
156, 3, 14, 0.152210, 0.010638
159, 40, 41, 0.255958, 0.071429
161, 20, 10, 0.160544, 0.013514
162, 3, 0, 0.155209, 0.011628
163, 27, 127, 0.278943, 0.090909
165, 6, 0, 0.500000, 0.333333
166, 23, 0, 0.244651, 0.062500
167, 5, 21, 0.215338, 0.041667
168, 4, 189, 0.157732, 0.012500
170, 7, 0, 0.301030, 0.111111
171, 102, 142, 0.186652, 0.025000
174, 3, 50, 0.169992, 0.017241
175, 26, 27, 0.194959, 0.029412
177, 4, 11, 0.172195, 0.018182
178, 8, 29, 0.156862, 0.012195
179, 8, 86, 0.162608, 0.014286
181, 5, 27, 0.172195, 0.018182
182, 63, 493, 0.163706, 0.014706
