0, 6, 18, 0.630930, 0.500000
1, 16, 54, 0.162608, 0.014286
2, 6, 18, 1.000000, 1.000000
5, 3, 16, 0.289065, 0.100000
6, 10, 25, 0.386853, 0.200000
7, 3, 12, 0.386853, 0.200000
9, 3, 269, 0.194959, 0.029412
11, 7, 34, 0.333333, 0.142857
12, 10, 218, 1.000000, 1.000000
13, 3, 13, 0.152565, 0.010753
15, 79, 75, 0.356207, 0.166667
16, 91, 14, 0.333333, 0.142857
17, 16, 0, 0.270238, 0.083333
18, 8, 108, 0.161555, 0.013889
21, 4, 0, 0.386853, 0.200000
22, 120, 0, 0.333333, 0.142857
24, 3, 0, 0.155611, 0.011765
25, 8, 229, 1.000000, 1.000000
26, 4, 0, 0.333333, 0.142857
27, 6, 23, 0.278943, 0.090909
28, 41, 294, 0.301030, 0.111111
31, 4, 23, 0.244651, 0.062500
33, 7, 0, 0.356207, 0.166667
36, 34, 0, 0.177184, 0.020408
40, 4, 0, 0.194959, 0.029412
42, 4, 11, 0.170707, 0.017544
43, 16, 96, 0.239812, 0.058824
44, 10, 49, 1.000000, 1.000000
45, 7, 165, 0.155611, 0.011765
46, 4, 15, 0.231378, 0.052632
47, 3, 0, 0.208015, 0.037037
49, 4, 54, 0.205847, 0.035714
50, 11, 72, 0.315465, 0.125000
51, 37, 19, 0.500000, 0.333333
52, 3, 0, 0.500000, 0.333333
54, 3, 38, 0.208015, 0.037037
55, 5, 12, 0.278943, 0.090909
56, 68, 237, 0.630930, 0.500000
58, 18, 70, 0.151178, 0.010309
60, 4, 14, 0.178104, 0.020833
61, 5, 418, 0.333333, 0.142857
62, 3, 101, 0.250000, 0.066667
63, 8, 10, 0.430677, 0.250000
65, 8, 0, 0.159099, 0.012987
66, 35, 0, 0.301030, 0.111111
70, 6, 41, 0.161045, 0.013699
73, 78, 16, 0.356207, 0.166667
74, 5, 47, 0.152210, 0.010638
77, 7, 0, 0.270238, 0.083333
78, 16, 14, 0.278943, 0.090909
81, 9, 0, 0.160544, 0.013514
82, 14, 102, 1.000000, 1.000000
85, 75, 0, 0.162077, 0.014085
86, 8, 127, 1.000000, 1.000000
88, 6, 374, 0.173765, 0.018868
89, 8, 0, 0.270238, 0.083333
92, 12, 32, 0.430677, 0.250000
94, 14, 38, 0.386853, 0.200000
95, 17, 20, 0.150515, 0.010101
96, 8, 67, 0.630930, 0.500000
98, 6, 24, 0.255958, 0.071429
99, 3, 239, 0.630930, 0.500000
101, 4, 0, 0.255958, 0.071429
102, 24, 32, 0.630930, 0.500000
103, 4, 27, 0.255958, 0.071429
104, 53, 164, 0.386853, 0.200000
105, 3308, 11, 0.430677, 0.250000
107, 4, 43, 0.356207, 0.166667
110, 3, 16, 0.158180, 0.012658
111, 11, 43, 0.161045, 0.013699
113, 4, 0, 0.227670, 0.050000
114, 7, 0, 0.315465, 0.125000
115, 105, 67, 0.175425, 0.019608
117, 12, 14, 0.386853, 0.200000
119, 359, 33, 0.500000, 0.333333
120, 3, 24, 0.152565, 0.010753
122, 10, 31, 0.154039, 0.011236
123, 6, 12, 0.156021, 0.011905
124, 4, 35, 0.152925, 0.010870
125, 13, 68, 1.000000, 1.000000
126, 9, 0, 0.386853, 0.200000
131, 10, 28, 0.235409, 0.055556
132, 9, 67, 0.158180, 0.012658
133, 11, 33, 0.500000, 0.333333
134, 10, 82, 0.150844, 0.010204
136, 21, 0, 0.157732, 0.012500
138, 6, 0, 0.630930, 0.500000
139, 38, 147, 0.430677, 0.250000
140, 6, 49, 0.315465, 0.125000
142, 9, 50, 0.170707, 0.017544
143, 8, 0, 0.221065, 0.045455
144, 5, 11, 0.386853, 0.200000
145, 14, 0, 0.221065, 0.045455
147, 3, 72, 1.000000, 1.000000
148, 112, 97, 0.183169, 0.023256
154, 21, 54, 0.315465, 0.125000
155, 3, 106, 0.500000, 0.333333
156, 3, 14, 0.155209, 0.011628
159, 40, 41, 1.000000, 1.000000
161, 20, 10, 0.430677, 0.250000
162, 3, 0, 0.153290, 0.010989
163, 27, 127, 1.000000, 1.000000
165, 6, 0, 1.000000, 1.000000
