0, 6, 18, 0.289065, 0.100000
1, 16, 54, 0.161555, 0.013889
2, 6, 18, 0.289065, 0.100000
5, 3, 16, 0.200000, 0.032258
6, 10, 25, 0.152565, 0.010753
7, 3, 12, 0.151517, 0.010417
9, 3, 269, 0.224244, 0.047619
11, 7, 34, 0.244651, 0.062500
12, 10, 218, 0.168613, 0.016667
13, 3, 13, 0.161555, 0.013889
15, 79, 75, 0.315465, 0.125000
16, 91, 14, 0.278943, 0.090909
17, 16, 0, 0.172970, 0.018519
18, 8, 108, 0.181043, 0.022222
21, 4, 0, 0.356207, 0.166667
22, 120, 0, 0.215338, 0.041667
24, 3, 0, 0.156438, 0.012048
25, 8, 229, 0.333333, 0.142857
26, 4, 0, 0.156021, 0.011905
27, 6, 23, 0.289065, 0.100000
28, 41, 294, 0.181043, 0.022222
31, 4, 23, 0.170707, 0.017544
33, 7, 0, 0.179052, 0.021277
36, 34, 0, 0.156438, 0.012048
40, 4, 0, 0.244651, 0.062500
42, 4, 11, 0.162608, 0.014286
43, 16, 96, 0.333333, 0.142857
44, 10, 49, 0.194959, 0.029412
45, 7, 165, 0.200000, 0.032258
46, 4, 15, 0.177184, 0.020408
47, 3, 0, 0.178104, 0.020833
49, 4, 54, 0.191959, 0.027778
50, 11, 72, 0.156021, 0.011905
51, 37, 19, 0.162077, 0.014085
52, 3, 0, 0.175425, 0.019608
54, 3, 38, 0.218104, 0.043478
55, 5, 12, 0.205847, 0.035714
56, 68, 237, 0.170707, 0.017544
58, 18, 70, 0.163151, 0.014493
60, 4, 14, 0.180031, 0.021739
61, 5, 418, 0.224244, 0.047619
62, 3, 101, 0.162608, 0.014286
63, 8, 10, 0.190551, 0.027027
65, 8, 0, 0.161045, 0.013699
66, 35, 0, 0.205847, 0.035714
70, 6, 41, 0.301030, 0.111111
73, 78, 16, 0.178104, 0.020833
74, 5, 47, 0.150844, 0.010204
77, 7, 0, 0.191959, 0.027778
78, 16, 14, 0.178104, 0.020833
81, 9, 0, 0.161555, 0.013889
82, 14, 102, 0.235409, 0.055556
85, 75, 0, 0.150844, 0.010204
86, 8, 127, 0.163151, 0.014493
88, 6, 374, 0.198240, 0.031250
89, 8, 0, 0.301030, 0.111111
92, 12, 32, 0.179052, 0.021277
94, 14, 38, 0.218104, 0.043478
95, 17, 20, 0.152210, 0.010638
96, 8, 67, 0.187902, 0.025641
98, 6, 24, 0.167300, 0.016129
99, 3, 239, 0.193426, 0.028571
101, 4, 0, 0.173765, 0.018868
102, 24, 32, 0.165443, 0.015385
103, 4, 27, 0.159571, 0.013158
104, 53, 164, 0.218104, 0.043478
105, 3308, 11, 0.150515, 0.010101
107, 4, 43, 0.171442, 0.017857
110, 3, 16, 0.191959, 0.027778
111, 11, 43, 0.156438, 0.012048
113, 4, 0, 0.176291, 0.020000
114, 7, 0, 0.156862, 0.012195
115, 105, 67, 0.158180, 0.012658
